1/1/1970,1268
1/1/1971,1295
1/1/1972,1349
1/1/1973,1298
1/1/1974,1493
1/1/1975,1432
1/1/1976,1431
1/1/1977,1291
1/1/1978,1247
1/1/1979,1403
1/1/1980,1188
1/1/1981,1555
1/1/1982,1512
1/1/1983,1552
1/1/1984,1023
1/1/1985,1190
1/1/1986,1197
1/1/1987,1120
1/1/1988,1119
1/1/1989,1319
1/1/1990,1692
1/1/1991,1452
1/1/1992,1494
1/1/1993,1346
1/1/1994,1519
1/1/1995,1580
1/1/1996,1623
1/1/1997,1863
1/1/1998,0
1/1/1999,845
1/1/2000,858
1/1/2001,814
1/1/2002,869
1/1/2003,864
1/1/2004,942
1/1/2005,837
1/1/2006,838
1/1/2007,671
1/1/2008,425
1/1/2009,634
1/1/2010,618
1/1/2011,404
1/1/2012,758
1/1/2013,410
1/1/2014,510
1/1/2015,103
1/1/2016,49
1/1/2017,70
