1/1/1970,1345
1/1/1971,1304
1/1/1972,1168
1/1/1973,1252
1/1/1974,1296
1/1/1975,1458
1/1/1976,1443
1/1/1977,1282
1/1/1978,1450
1/1/1979,1338
1/1/1980,1063
1/1/1981,1230
1/1/1982,1237
1/1/1983,1291
1/1/1984,1211
1/1/1985,1442
1/1/1986,1649
1/1/1987,1629
1/1/1988,1260
1/1/1989,1283
1/1/1990,1617
1/1/1991,1284
1/1/1992,1399
1/1/1993,1272
1/1/1994,1297
1/1/1995,1666
1/1/1996,1797
1/1/1997,1620
1/1/1998,450
1/1/1999,200
1/1/2000,1308
1/1/2001,1277
1/1/2002,1444
1/1/2003,1070
1/1/2004,1031
1/1/2005,1405
1/1/2006,1487
1/1/2007,1229
1/1/2008,1493
1/1/2009,1317
1/1/2010,1520
1/1/2011,1337
1/1/2012,1547
1/1/2013,1632
1/1/2014,1336
1/1/2015,1289
1/1/2016,1439
1/1/2017,1226
